Country,MAE,MSE,RMSE
Afghanistan,0.036285314,0.001317682,0.036299890868219956
Africa,0.019785254739162088,0.000391457,0.019785277
Albania,0.010788511760148002,0.000116392,0.010788511924613284
Algeria,0.025324059,0.000641308,0.025324066
 American  Samoa ,0.004081377,1.6657666323466062e-05,0.00408138
Andorra,0.003314841,1.0988190347915444e-05,0.003314844
Angola,0.018311404156746258,0.000335309,0.018311445829125635
Anguilla,0.00307377,9.448062012900001e-06,0.00307377
 Antigua  and  Barbuda ,0.016033385000000004,0.000257069,0.016033385
Argentina,0.012987178801489906,0.000168667,0.012987180235750847
Armenia,0.019510177706331962,0.000380647,0.019510184
Aruba,0.006531855,4.26704740458888e-05,0.006532264
Asia,0.005475401,2.998071383988191e-05,0.005475465
Australia,0.001887177,3.5702593824785806e-06,0.001889513
Austria,0.003830226,1.4673048168588098e-05,0.003830541
Azerbaijan,0.012313634887984964,0.000151631,0.012313860112582885
Bahamas,0.022181669,0.000492027,0.022181685186278225
Bahrain,0.002204951,4.8618089124010006e-06,0.002204951
Bangladesh,0.014432297365224306,0.000208291,0.014432306952750358
Barbados,0.005513247,3.0406301958328533e-05,0.005514191
Belarus,0.007160699,5.127561016860101e-05,0.007160699
Belgium,0.007539617,5.689931050655399e-05,0.007543163
Belize,0.009715418,9.438969547709335e-05,0.009715436
Benin,0.005818284,3.3852441325536365e-05,0.005818285
Bermuda,0.008664857,7.509951063668029e-05,0.008665997
Bhutan,0.00033513,1.1231226708789569e-07,0.00033513
Bolivia,0.018657127312954304,0.000348098,0.018657395580063747
 Bonaire  Sint  Eustatius  and  Saba ,0.003450711,1.1907646711197084e-05,0.003450746
 Bosnia  and  Herzegovina ,0.040552308,0.00164449,0.040552314
Botswana,0.008477031,7.186005388124012e-05,0.008477031
Brazil,0.018753534,0.000351704,0.018753761944873416
 British  Virgin  Islands ,0.008761123,7.675727622112897e-05,0.008761123
Brunei,0.000533667,2.8484661549567814e-07,0.00053371
Bulgaria,0.029586083212230208,0.00087534,0.029586139
 Burkina  Faso ,0.017955445512278158,0.000322398,0.017955446
Burundi,0.000278274,7.744113292129855e-08,0.000278282
Cambodia,0.022016214,0.000484714,0.022016220355919023
Cameroon,0.015782265787769784,0.00024908,0.015782270157201267
Canada,0.011234202478994655,0.000126227,0.011235069893689841
 Cape  Verde ,0.006486073,4.2070350835006536e-05,0.006486166
 Cayman  Islands ,0.001175652,1.3821577979670675e-06,0.001175652
 Central  African  Republic ,0.007353923,5.4080183979234195e-05,0.007353923
Chad,0.025230302811739626,0.000636571,0.025230354746485467
Chile,0.011862315,0.00014083,0.011867190304027973
China,0.001233025,1.5225113366270111e-06,0.001233901
Colombia,0.022414170294964023,0.000502395,0.022414172396752818
Comoros,0.017615227976455292,0.000310303,0.017615433
Congo,0.015448163,0.000238646,0.015448170623522214
 Cook  Islands ,0.000281835,7.943640156878417e-08,0.000281845
 Costa  Rica ,0.007626373,5.8163205264743264e-05,0.007626481
 Cote  d'Ivoire ,0.00945236,8.934716203492816e-05,0.009452363
Croatia,0.014281221979946048,0.000203964,0.014281599275233241
Cuba,0.007657786,5.86417480215363e-05,0.00765779
Curacao,0.006605747,4.3637083212193486e-05,0.006605837
Cyprus,0.00205078,4.206224900716096e-06,0.002050908
Czechia,0.009376698,8.822678842072043e-05,0.009392912
 Democratic  Republic  of  Congo ,0.015098717396888856,0.000228001,0.015099708887372294
Denmark,0.002539918,6.45837480343183e-06,0.002541333
Djibouti,0.012045889000000004,0.000145103,0.012045889
Dominica,0.004693482,2.2028787854484272e-05,0.004693484
 Dominican  Republic ,0.006611994,4.3719250980085055e-05,0.006612053
Ecuador,0.033878609,0.001147787,0.033879008188812974
Egypt,0.04813024,0.00231652,0.048130241121428836
 El  Salvador ,0.020962393769784173,0.000439422,0.020962393789758723
 Equatorial  Guinea ,0.010685106924460433,0.000114172,0.010685108774946002
Eritrea,0.010108940999999998,0.000102191,0.010108941
Estonia,0.004778238,2.2834476916746043e-05,0.004778543
Eswatini,0.019093672229625058,0.000364572,0.019093775
Ethiopia,0.015127773,0.00022885,0.015127779857750677
Europe,0.00832154,6.924812923494436e-05,0.008321546
 European  Union ,0.006750239,4.5565930208829236e-05,0.006750254
 Faeroe  Islands ,0.000807894,6.52692715236001e-07,0.000807894
Fiji,0.012816972517985612,0.000164275,0.012816974
Finland,0.006603045,4.3684709476165484e-05,0.006609441
 French  Guiana ,0.00421263,1.7746254622785346e-05,0.00421263
 French  Polynesia ,0.008297801,6.885382733053852e-05,0.008297821
Gabon,0.006260724,3.919674423803054e-05,0.00626073
Gambia,0.029482779291366903,0.000869235,0.029482797
Georgia,0.009268267,8.590142678533798e-05,0.009268302
Germany,0.004528931,2.051225254672695e-05,0.004529045
Ghana,0.008523656,7.265281082771967e-05,0.008523662
Gibraltar,0.005491308,3.0155582625034577e-05,0.00549141
Greece,0.007482251,5.607965287080591e-05,0.007488635
Greenland,0.001754239,3.077354360036814e-06,0.001754239
Grenada,0.012088227228404778,0.000146125,0.012088227788009174
Guadeloupe,0.005015213,2.5152437445752848e-05,0.005015221
Guam,0.008057392,6.492462099104376e-05,0.008057582
Guatemala,0.016116994,0.000259787,0.016117902257449017
Guernsey,0.002360145,5.637241776030678e-06,0.002374288
Guinea,0.012152470649861557,0.000147683,0.012152500645308092
Guinea-Bissau,0.018708098402116635,0.00035023,0.018714443179448866
Guyana,0.017727485907412063,0.000314264,0.017727506
Haiti,0.025109954977373533,0.000630513,0.025110016479260203
 High  income ,0.006848121,4.6896829760021577e-05,0.006848126
Honduras,0.023504961561079247,0.000552486,0.023505010840776115
Hungary,0.022153618,0.000490783,0.022153625064763892
Iceland,0.000891669,7.950743630566534e-07,0.000891669
India,0.011840524834549653,0.000140199,0.011840550752900634
Indonesia,0.023808386,0.000566842,0.023808450343579774
Iran,0.019190631287633538,0.000368282,0.019190664200429308
Iraq,0.010291839332198157,0.000105922,0.010291839332262999
Ireland,0.005260708,2.7682109521488518e-05,0.005261379
 Isle  of  Man ,0.003529659,1.2521566077102256e-05,0.003538582
Israel,0.002799847,7.859045686840494e-06,0.002803399
Italy,0.008111034,6.595375214918602e-05,0.008121192
Jamaica,0.022907022521922026,0.000524753,0.022907492
Japan,0.002193233,4.8119572452285215e-06,0.002193617
Jersey,0.002737965,7.5355784564460045e-06,0.002745101
Jordan,0.008083586,6.5344362619396e-05,0.008083586
Kazakhstan,0.012701813775999948,0.000161336,0.012701825715647997
Kenya,0.016565407722441576,0.000274413,0.016565421572096287
Kiribati,0.004340298,1.9135131367180045e-05,0.004374372
Kosovo,0.011712593,0.000137185,0.011712593748751108
Kuwait,0.003862727,1.492070202738746e-05,0.003862732
Kyrgyzstan,0.011539513010791367,0.000133161,0.011539525571697769
Laos,0.003072853,9.442450166239953e-06,0.003072857
Latvia,0.007515473,5.6489890233880036e-05,0.007515976
Lebanon,0.008814165,7.7689812715734e-05,0.008814182
Lesotho,0.020395766,0.000416032,0.020396874
Liberia,0.036541424030485145,0.001335376,0.036542798851847844
Libya,0.012690296,0.000161044,0.012690296133289602
Liechtenstein,0.004056445,1.6454805936986688e-05,0.004056452
Lithuania,0.007332668,5.376825751343026e-05,0.007332684
 Low  income ,0.020812050324782283,0.000433152,0.020812292962771307
 Lower  middle  income ,0.013761166369527563,0.00018937,0.013761187908062501
Luxembourg,0.002620754,6.868621248390677e-06,0.002620805
Madagascar,0.020913217063055732,0.000437363,0.020913232
Malawi,0.030278325010667288,0.00091678,0.03027838
Malaysia,0.007285665,5.3082042956855396e-05,0.007285742
Maldives,0.001684685,2.8382351037738685e-06,0.001684706
Mali,0.022455557705636845,0.000504259,0.022455709776563696
Malta,0.007253062,5.2608686617666324e-05,0.007253185
 Marshall  Islands ,0.001064717,1.13383450593155e-06,0.001064817
Martinique,0.004783073,2.2877915136000956e-05,0.004783086
Mauritius,0.003454227,1.19344616292767e-05,0.003454629
Mayotte,0.004450292,1.980510445486701e-05,0.004450293
Mexico,0.044746371,0.002002271,0.044746745921264285
 Micronesia  (country) ,0.002471744,6.111404105171332e-06,0.002472125
Moldova,0.019598716607333734,0.000384135,0.019599355743764677
Monaco,0.003982044,1.5857629199110993e-05,0.003982164
Mongolia,0.002172196,4.723165988930114e-06,0.002173285
Montenegro,0.010584396417266186,0.000112031,0.010584462000538208
Montserrat,0.005702067,3.251356807248899e-05,0.005702067
Morocco,0.012788969182933645,0.000163558,0.012788978262174984
Mozambique,0.009614908,9.244651686139222e-05,0.009614911
Myanmar,0.030562721721285144,0.000934103,0.030563105
Namibia,0.023873857,0.000569962,0.023873881880444384
Nauru,0.000189057,3.5818907324622305e-08,0.000189259
Nepal,0.012078360544675853,0.000145888,0.012078429
Netherlands,0.002660216,7.102308376717733e-06,0.002665016
 New  Caledonia ,0.003922969,1.5389693773679562e-05,0.00392297
 New  Zealand ,0.001319034,1.7521526845480846e-06,0.001323689
Nicaragua,0.015505180387545326,0.000240438,0.015506074395746968
Niger,0.033110511,0.001096306,0.033110512
Nigeria,0.011827472384754107,0.000139889,0.011827476424080456
 North  America ,0.012900584019824024,0.000166426,0.012900605502097748
 North  Macedonia ,0.028559147844706402,0.000815625,0.028559150599416317
 Northern  Mariana  Islands ,0.00294985,8.705384985562063e-06,0.002950489
Norway,0.003691321,1.3639646305332274e-05,0.003693189
Oceania,0.001960256,3.849683612200466e-06,0.001962061
Oman,0.011591326932860427,0.000134359,0.011591327075827893
Pakistan,0.01944004,0.000377915,0.019440043054791623
Palau,0.001483545,2.201483969738824e-06,0.00148374
Palestine,0.008116855,6.588333509102377e-05,0.008116855
Panama,0.008299358,6.888058675460209e-05,0.008299433
 Papua  New  Guinea ,0.014303412128043536,0.000204588,0.014303415984645115
Paraguay,0.027070651447190168,0.000732824,0.027070719835217347
Peru,0.048962223,0.002397304,0.048962266
Philippines,0.016142983,0.000260608,0.016143370593408313
Poland,0.018400442088384334,0.000338584,0.018400664048865766
Portugal,0.00481558,2.3195834976910385e-05,0.004816205
 Puerto  Rico ,0.00478887,2.2936037788271663e-05,0.004789158
Qatar,0.001358549,1.8461041672768497e-06,0.001358714
Reunion,0.001861963,3.4669056868083615e-06,0.001861963
Romania,0.020546123177247324,0.00042216,0.020546534450339615
Russia,0.017538268487308283,0.000307632,0.017539453173949785
Rwanda,0.011022854302755259,0.000121503,0.011022854583174514
 Saint  Barthelemy ,0.000911859,8.315084079009965e-07,0.000911871
 Saint  Kitts  and  Nevis ,0.00696862,4.85617143450956e-05,0.006968624
 Saint  Lucia ,0.013618984757224263,0.000185478,0.013619024662918557
 Saint  Martin  (French  part) ,0.003740575,1.3991975681472054e-05,0.003740585
 Saint  Pierre  and  Miquelon ,0.000584241,3.413390702998669e-07,0.000584242
 Saint  Vincent  and  the  Grenadines ,0.012874375329418555,0.000165751,0.012874418994628494
Samoa,0.001834541,3.36665873677399e-06,0.001834846
 San  Marino ,0.005152298,2.6546957240308384e-05,0.005152374
 Sao  Tome  and  Principe ,0.012172642474834258,0.000148176,0.012172750996622964
 Saudi  Arabia ,0.011497455,0.000132194,0.011497556052855762
Senegal,0.022150277,0.000490635,0.022150279540238304
Serbia,0.007112889,5.05940405530988e-05,0.007112949
Seychelles,0.00337972,1.142255099503442e-05,0.003379726
 Sierra  Leone ,0.016102993510791374,0.000259306,0.016102994091769542
Singapore,0.000744593,5.547816471423847e-07,0.000744837
 Sint  Maarten  (Dutch  part) ,0.008295078,6.881431373556248e-05,0.008295439
Slovakia,0.011630651915282019,0.000135312,0.011632354041637089
Slovenia,0.006959071,4.843259082286615e-05,0.006959353
 Solomon  Islands ,0.007079728,5.0122548553984014e-05,0.007079728
Somalia,0.049796216,0.002479663,0.049796216799797115
 South  Africa ,0.025223440596042406,0.000636223,0.025223462058879986
 South  America ,0.019764393097027204,0.000390638,0.019764561148687437
 South  Korea ,0.001112523,1.2381034521257055e-06,0.001112701
 South  Sudan ,0.007513066,5.644616072511515e-05,0.007513066
Spain,0.008706749,7.580765366367598e-05,0.008706759
 Sri  Lanka ,0.025074849640932206,0.000628749,0.025074863
Sudan,0.078771393,0.006204949,0.078771499
Suriname,0.017035029647482016,0.000290192,0.017035034
Sweden,0.008931799,8.008797304931588e-05,0.008949188
Switzerland,0.003220394,1.037156633623835e-05,0.003220492
Syria,0.055082458,0.003034077,0.055082458
Tajikistan,0.007028,4.939278400000001e-05,0.007028
Tanzania,0.019679012,0.000387268,0.019679128702136672
Thailand,0.007204553,5.190671919621363e-05,0.007204632
Timor,0.005887036,3.465721800478954e-05,0.005887038
Togo,0.007347494,5.398579156379999e-05,0.007347502
Tonga,0.000713924,5.096895774020721e-07,0.000713925
 Trinidad  and  Tobago ,0.022937666345726793,0.000526138,0.022937693801479087
Tunisia,0.025499955464587176,0.000650248,0.025499958955431695
Turkey,0.005964183,3.557147887344078e-05,0.005964183
 Turks  and  Caicos  Islands ,0.005812771,3.379126295487855e-05,0.005813025
Tuvalu,0.000151561,5.149861151296404e-08,0.000226933
Uganda,0.021223315,0.000450435,0.021223446368782588
Ukraine,0.020030148517985614,0.000401236,0.020030869
 United  Arab  Emirates ,0.002212057,4.893392320788311e-06,0.002212101
 United  Kingdom ,0.009212775,8.488489945648119e-05,0.0092133
 United  States ,0.010902944182634879,0.000118876,0.010903005213036427
 United  States  Virgin  Islands ,0.005224589,2.7297221018414257e-05,0.005224674
 Upper  middle  income ,0.010970486317474744,0.000120352,0.010970498353504577
Uruguay,0.007359039,5.415552710962155e-05,0.007359044
Uzbekistan,0.005946916,3.5370454727857455e-05,0.005947307
Vanuatu,0.001165031,1.3572972893100254e-06,0.001165031
Venezuela,0.010597079998328755,0.000112298,0.010597080439661701
Vietnam,0.003729643,1.3910411025898107e-05,0.003729666
 Wallis  and  Futuna ,0.00214702,4.62152116566649e-06,0.002149772
World,0.009059339,8.207191551665978e-05,0.009059355
Yemen,0.180745082,0.032668785,0.18074508199999098
Zambia,0.011750368514388489,0.000138079,0.011750721943627125
Zimbabwe,0.021498497132617377,0.000462187,0.021498525948771156
Average,0.010325703,0.000833315,0.008536828
